City,Latitude,Longitude
Munich,48.1374,11.5753
Berlin,52.5244,13.4105
Hamburg,53.5507,9.993
Wolfsburg,52.4275,10.7804
Stuttgart,48.7823,9.177
Schleswig-Holstein,54.47,9.5139
London,51.5099,-0.1181
Konstanz,47.6603,9.1758
Frankfurt,50.1106,8.6849
Cologne,50.9336,6.9619
Kempten,47.7267,10.3139
Münster,51.9624,7.6257
Erlangen,49.5833,11.0167
Vienna,48.2085,16.3721
Moldova,47.0,29.0
Rosenheim,47.8564,12.1224
Mannheim,49.4875,8.466
Boeblingen,48.6826,9.0116
Düsseldorf,51.2277,6.7735
Ingolstadt,48.7656,11.4237
